,n_conflict,id,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
1215,1215,45560460,Eastern al-Hasakah offensive,military conflict,38855,30496,71,102,"287–400 Assyrian civilians kidnapped (24 released, 1 executed) <br>at least 20,000 civilians displaced",Al- Hasakah  Governorate  Q233914,2015.0,False
1216,1216,45619584,Salahuddin campaign,military conflict,34606,31169,74,92,"46 civilians killed <br>28,000 civilians displaced <br>28,000 civilians displaced <br/>100 civilians abducted by ISIL",Saladin  Governorate  Q190131,2016.0,False
1217,1217,45666688,Operation Rainbow (Syrian Civil War),military conflict,37816,38471,98,61,540+ killed |caus2| 270+ killed,Aleppo  Governorate  Q214064,2015.0,False
1218,1218,45683170,2015–16 protests in Brazil,civil conflict,40702,78927,61,153,,nowrap Brazil  160  cities  in  26  states  and  the  Federal  District  Brazil Federal  District ref name G1- 1 cite  web  url http g1 globo com politica noticia 2015 03 manifestantes- protestam- contra- dilma- em- estados- no- df- e- no- exterio html  title Manifestantes  protestam  contra  Dilma  em  todos  os  estados|DF  e  exterior  publisher G1  author date 15  March  2015  language Portuguese ref br Worldwide  6  cities,2016.0,False
1219,1219,45716178,Battle of Sirte (2015),military conflict,8919,49211,16,32,10 killed |caus2| 41 killed,Sirte  Q162413,2015.0,False
1220,1220,45716539,Battle of Aden Airport,military conflict,10526,28742,14,55,"13 killed, 63 wounded",Aden  Q131694,2015.0,False
1221,1221,46179869,Battle of Aden (2015),military conflict,42611,10348,85,115,858 civilians killed (256 by disease; pro-Hadi claim) <br>783 civilians and pro-Hadi fighters killed (U.N. claim) <br>590 deaths from [[dengue fever]] (U.N. claim),Aden  Q131694,2015.0,False
1222,1222,46218259,Battle of Idlib (2015),military conflict,36787,12006,75,67,"11 civilians killed, 15 prisoners executed by the Syrian Army",Idlib  Q504657,2015.0,False
1223,1223,46222132,Battle of Bosra (2015),military conflict,8455,28941,12,27,4 civilians killed,Bosra  Q272680,2015.0,False
1224,1224,46252648,Operation Shah Euphrates,military conflict,2793,23654,1,24,,Aleppo  Q41183,2015.0,False
1225,1225,46253486,Battle of Sarrin (March–April 2015),military conflict,30392,27639,51,83,Unknown |caus2| 24+ militants killed,Sarrin  Q15275488,2015.0,False
1226,1226,46291886,Battle of Nasib Border Crossing,military conflict,13677,32623,20,30,,Nasib  Border  Crossing  Q13576098,2015.0,False
1227,1227,46309528,2015 Idlib offensive,military conflict,21095,63087,45,41,,Idlib  Governorate  Q233218,2015.0,False
1228,1228,46314749,Rhodes Must Fall,civil conflict,59483,213226,119,139,,University  of  Cape  Town,2015.0,False
1229,1229,46315216,Battle of Mukalla (2015),military conflict,14399,8495,27,52,7+ killed,Mukalla  Q310772,2015.0,False
1230,1230,46330507,Battle of Yarmouk Camp (2015),military conflict,24043,71727,44,66,5 killed,Yarmouk  Camp  Q2918779,2015.0,False
1231,1231,46345430,Battle of Dhale,military conflict,14670,16493,34,33,46 civilians killed,Ad  Dali Governorate  Q328187,2015.0,False
1232,1232,46346819,Battle of Baiji (2014),military conflict,23161,4745,48,50,197+ killed and 122 wounded,Baiji  Q803712,2014.0,False
1233,1233,46357616,Abyan campaign (March–August 2015),military conflict,10189,14222,21,45,49 killed |caus2| 31 killed,Abyan  Governorate  Q241774,2015.0,False
1234,1234,46357714,Shabwah campaign (March–August 2015),military conflict,12327,12928,27,43,152 killed |caus2| 43 killed,Shabwah  Governorate  Q328180,2015.0,False
1235,1235,46358416,Lahij insurgency,military conflict,10773,20082,22,41,119-124 |caus2| 242-259 killed,Lahij  Governorate  Q388318,2015.0,False
1236,1236,46360372,Detroit newspaper strike of 1995–97,civil conflict,8007,7719,5,37,,,1997.0,False
1237,1237,46376184,Kumanovo water crisis,military conflict,1223,574,1,12,,Kumanovo  Q54452,2001.0,False
1238,1238,46428106,Al-Karmah offensive (2015),military conflict,23842,44717,40,86,Unknown |caus2| 676+ killed (government claim),Al- Karmah  Q4702665,2015.0,False
1239,1239,46450104,Siege of Nubl and al-Zahraa,military conflict,22548,1945,41,67,,Nubl  Q7067856,2016.0,False
1240,1240,46454011,Sistan and Baluchestan insurgency,military conflict,14383,42047,23,106,,Sistan  and  Baluchestan  Q939575,2004.0,False
1241,1241,46455838,Taiz campaign (2015–present),military conflict,68327,3172,151,84,,Ta izz  Q466216,2015.0,False
1242,1242,46458597,Thirty Meter Telescope protests,civil conflict,33223,34457,51,80,,Mauna  Kea  Access  Road  near  Mauna  Kea  Visitors  Center,2014.0,False
1243,1243,46459545,Hama and Homs offensive (March–April 2015),military conflict,7755,23537,14,35,48–50 civilians killed by ISIL (46–48 executed),Hama  Governorate  Q232355,2015.0,False
1244,1244,46472007,Gošince attack,military conflict,10517,6258,18,42,4 captured |caus2| none,Gošince  border  post|Lipkovo  Municipality|Republic  of  Macedonia Macedonia,2015.0,False
1245,1245,46478068,Kondovo Crisis,military conflict,2794,5921,3,23,none |caus2| none,Kondovo  Q1781281,2005.0,False
1246,1246,46510596,Northwestern Syria offensive (April–June 2015),military conflict,116451,41912,248,121,27 civilians killed <br>23 prisoners & 3 friendly officers executed by the SAA and IRGC,Idlib  Governorate  Q233218,2015.0,False
1247,1247,46526709,Electric Yerevan,civil conflict,18801,10047,31,50,,Armenia Yerevan|Gyumri|Vanadzor|Martuni|Armenia Martuni|Spitak|and  Ashtarak br  Armenian  diaspora Los  Angeles|New  York  City New  York|Paris|Brussels,2015.0,False
1248,1248,46576053,2015 West African offensive,military conflict,31295,53827,52,82,,Northeast  Nigeria|Northern  Cameroon|Southeast  Niger|Western  Chad,2015.0,False
1249,1249,46582851,2015 May Day protests,civil conflict,6274,14822,9,20,,Worldwide,2015.0,False
1250,1250,46597403,Burundian unrest (2015–present),civil conflict,50077,99574,105,122,,Bujumbura|Burundi,2015.0,False
1251,1251,46597760,Shyrokyne standoff (February–July 2015),military conflict,29569,47015,52,69,"60–70 killed, 200–250 wounded |caus2| 110 killed or wounded",Shyrokyne  Q4524371,2015.0,False
1252,1252,46656542,Kumanovo clashes,military conflict,33925,54232,67,132,18 killed in total,Kumanovo  Q54452,2015.0,False
1253,1253,46668130,Battle of Benina Airport,military conflict,4237,6861,1,36,82 killed |caus2| 300+ killed,Benina  International  Airport  Q44553,2014.0,False
1254,1254,46679874,Qalamoun offensive (May–June 2015),military conflict,60199,47893,111,92,75 killed,Qalamoun  Mountains  Q7265930,2015.0,False
1255,1255,46694376,2015 Burundian coup d'état attempt,military conflict,13305,31960,24,31,,Burundi  Q967,2015.0,False
1256,1256,46698693,Palmyra offensive (May 2015),military conflict,34088,99841,65,57,"71 civilians killed (49 executed by ISIL; 14–15 May) <br>168–280 civilians and soldiers executed, and 600 detained (21–24 May)",Palmyra  Q5747,2015.0,False
1257,1257,46699179,Unrest in Gostivar and Tetovo (1997),military conflict,5625,2542,2,37,9 killed in total,Gostivar  Q157058,1997.0,False
1258,1258,46726652,2015 Macedonian protests,civil conflict,22263,22124,35,111,'''May 5:'''<br>At least 19 protestors injured |caus2| '''May 5:'''<br>Between 10—38 policemen injured,Mostly  in  Skopje|Republic  of  Macedonia Macedonia|and  in  some  other  parts  of  the  country  such  as  Bitola|Kumanovo and  Prilep,2015.0,False
1259,1259,46733757,2015 Waco shootout,civil conflict,54742,549621,83,133,+9,Waco|Texas|U S,2015.0,False
1260,1260,46781444,2015 Tanhuato–Ecuandureo shootout,civil conflict,52011,1857,72,105,1 dead |caus2| 42 dead,Ecuandureo|Michoacán|Mexico,2015.0,False
1261,1261,46781466,Western al-Hasakah offensive,military conflict,23706,19762,43,56,50–120 civilians killed,Western  Al- Hasakah  Governorate|Syria,2015.0,False
1262,1262,46874923,Battle of Kanakarayankulam (1997),military conflict,6990,2409,12,28,"*6 officers and 148 soldiers killed
*30 officers and 451 soldiers wounded
*18 missing in action |caus2| *35 killed (LTTE claim) *around 200 killed, 102 identified by names (SLA claim)",,1997.0,False
1263,1263,46894982,Battle of Marinka,military conflict,10800,66283,19,42,9 civilians killed and 30 wounded,Marinka  Q2494365,2015.0,False
1264,1264,46913602,2015 in Romanian politics,civil conflict,28966,2575,53,74,,flag Romania,2015.0,False
1265,1265,46917575,Al-Hasakah city offensive (May–June 2015),military conflict,19762,27672,30,70,"25 civilians killed <br>4,000+ civilians fled",Al- Hasakah  Q311321,2015.0,False
1266,1266,46933174,Daraa and As-Suwayda offensive (June 2015),military conflict,31953,30345,60,58,36 killed (SOHR claim) 125+ killed (government claim) |caus2| 28 killed and 3 captured (SOHR claim) <br>83 killed (Southern Front claim) <br>1 [[Sukhoi Su-24]] aircraft lost <br>7 [[BMP-1]]s & 3 [[T-72]] tanks captured,Daraa  Governorate  Q1689560,2015.0,False
1267,1267,46933298,Operation Golden Bird,military conflict,9052,13215,20,39,,around  Indo- Burma  barrier Indo- Burma  border,1995.0,False
1268,1268,46969397,Tell Abyad offensive,military conflict,49617,41410,83,90,"9 civilians killed <br>23,000+ civilians displaced (including 13,000 Arabs and Turkmen)",Northern  Raqqa  Governorate|Syria,2015.0,False
1269,1269,47004086,Quneitra offensive (June 2015),military conflict,19700,13373,42,54,15 killed (SOHR claim) <br>37 killed (18–19 June; Army claim) |caus2| 27 killed,Quneitra  Governorate  Q219690,2015.0,False
1270,1270,47021159,MT Orkim Harmony hijacking,military conflict,22108,33425,36,111,1 hostage injured,Lost  in  the  waters  of  Tanjung  Sedili|Kota  Tinggi|Johor|Malaysia,2015.0,False
1271,1271,47036824,Operation Density,military conflict,6999,7752,6,21,20 Lebanese civilians killed {{citation needed|date|=|July 2016}},Lebanon  Q822,2006.0,False
1272,1272,47077360,Daraa offensive (June–July 2015),military conflict,16577,36576,29,33,11 civilians killed,Daraa  Q238217,2015.0,False
1273,1273,47080267,Mosul offensive (2015),military conflict,31610,108879,54,65,3 civilians killed,Mosul  Q83317,2015.0,False
1274,1274,47086746,Battle of Leego (2015),military conflict,3885,15529,5,25,"{{flagicon|Burundi}} :

70+ killed, 27 injured",Leego  Q4116726,2015.0,False
1275,1275,47089642,Kobanî massacre,military conflict,16233,79341,24,65,+350,Kobanê  Q126415,2015.0,False
1276,1276,47104099,2015 Ecuadorian protests,civil conflict,16091,13558,20,56,,Ecuador  Q736,2015.0,False
1277,1277,47107082,Battle of al-Hasakah (2015),military conflict,52536,20856,89,83,"120,000+ civilians displaced",Al- Hasakah  Q311321,2015.0,False
1278,1278,47129233,July 2015 Sinai clashes,military conflict,9998,13939,14,36,21 soldiers killed (official army and health ministry statement) |caus2| 241 militants killed.,North  Sinai  Governorate  Q30662,2015.0,False
1279,1279,47177974,Aleppo offensive (July 2015),military conflict,12195,50531,18,33,67 killed |caus2| 55 killed,Aleppo  Q41183,2015.0,False
1280,1280,47182323,MT Zafirah hijacking,military conflict,14691,19211,18,67,none,Lost  near  the  waters  of  Natuna  Islands|Indonesia,2012.0,False
1281,1281,47187886,Battle of Sarrin (June–July 2015),military conflict,32968,64636,52,77,20 killed |caus2| 80+ killed,Sarrin  Q15275488,2015.0,False
1282,1282,47247961,Battle of Zabadani (2015),military conflict,53000,176179,109,68,"400+ killed, 100–250 wounded and 189 captured <small>(independently confirmed)</small><br>479+ killed <small>(pro-government claim)</small> |caus2| 60–108 Hezbollah killed <br>29 SAA killed <br>2 SSNP killed <br>1 PLA killed <br>1 IRGC killed",Al- Zabadani  Q374768,2015.0,False
1283,1283,47278591,2001 Burundian coup d'état attempt,military conflict,1949,3769,2,14,,Bujumbura  Q3854,2001.0,False
1284,1284,47297313,Free Way to the Catalan Republic,civil conflict,2651,11334,1,23,,Avinguda  Meridiana  Q2219832,2015.0,False
1285,1285,47304603,2015 Nadia riots,civil conflict,3305,11975,6,18,,Nadia  district|West  Bengal|India,2015.0,False
1286,1286,47310577,Palmyra offensive (July–August 2015),military conflict,14331,72683,29,35,21 civilians killed,Tadmur  District  Q4120562,2015.0,False
1287,1287,47318305,Stop Iran Rally,civil conflict,2761,1314,5,25,,Times  Square|New  York  City,2015.0,False
1288,1288,47320825,Turkey–ISIL conflict,military conflict,57367,235900,109,186,304 civilians killed by ISIL attacks across Turkey <br>540+ Syrian civilians killed during the Turkish military intervention,Turkey  Q43,2013.0,False
1289,1289,47342615,Operation Martyr Yalçın,military conflict,22175,100731,41,112,160 killed (Turkish claim)</small>,Syria Turkey  border  Q3088996,2015.0,False
1290,1290,47372036,Bersih 4 rally,civil conflict,63073,136885,155,212,"4 participants injured, 16 participants poisoned",Kuala  Lumpur|Kota  Kinabalu and  Kuching,2015.0,False
1291,1291,47372987,1997 Zambian coup d'état attempt,military conflict,2486,8733,3,11,,Zambia  Q953,1997.0,False
1292,1292,47408368,2001 Central African Republic coup d'état attempt,military conflict,5523,4307,8,21,At least 59 killed in initial coup attempt. <br>Around 300 [[Yakoma people|Yakoma]] civilians murdered following coup,Bangui  Q3832,2001.0,False
1293,1293,47414490,Al-Ghab offensive (July–August 2015),military conflict,40325,38389,68,108,22 civilians killed and 70+ wounded,Al- Ghab  plain  Q4702413,2015.0,False
1294,1294,47432141,May 2015 U.S. special forces raid in Syria,military conflict,5451,46186,7,29,None |caus2| 31+ fighters killed<br>1 Yazidi slave freed,al- Amr|Deir  ez- Zor  Governorate|Syria,2015.0,False
1295,1295,47480227,"December 14, 1998 Albanian–Yugoslav border ambush",military conflict,18536,8756,30,67,None |caus2| 36 killed<br>12 wounded<br>9 captured,Albanian Yugoslav  border,1998.0,False
