id,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing,popularity_score
771,American Revolutionary War,military conflict,0.37501120570209034,0.25992906771207214,0.598,0.634364261168385,70000,Eastern  North  America|Caribbean  Sea|Indian  subcontinent|Africa|the  Atlantic  Ocean|and  the  Indian  Ocean,1783.0,False,1.8673045345825474
863,American Civil War,military conflict,0.31941047784259174,0.5229986430697001,0.212,0.5326460481099656,828000,Southern  United  States  Q49042|Northern  United  States  Q1357541,1865.0,False,1.5870551690222574
3793,Battle of Bosworth Field,military conflict,0.15232520284286696,0.032732866135706445,0.034,0.20893470790378008,0,Ambion  Hill  Q4741491|Battle  of  Bosworth  Field 1485  Q55876564,1485.0,False,0.4279927768823535
4005,Battle of Pharsalus,military conflict,0.03451041697793617,0.01778526501901189,0.02,0.06735395189003437,230,Farsala  Q985596,0.0,False,0.13964963388698243
4049,Battle of Blenheim,military conflict,0.10437108881678796,0.013543088263183891,0.095,0.13745704467353953,24968,Blindheim  Q514914,1704.0,False,0.3503712217535114
4050,Battle of Ramillies,military conflict,0.08673921146457347,0.0035976843669529887,0.08700000000000001,0.13058419243986255,3663,Ramillies  Q531456,1706.0,False,0.307921088271389
4160,Battle of Lostwithiel,military conflict,0.008090123726678378,0.0006260800094432158,0.0,0.029553264604811,0,Lostwithiel  Q723517,1644.0,False,0.038269468340932596
4283,Battle of Peleliu,military conflict,0.07018622697326517,0.030045220271905624,0.028,0.15601374570446735,10786,Peleliu  Q497981,1944.0,False,0.2842451929496381
4284,Battle of Stalingrad,military conflict,0.20041928984944254,0.17601090982246062,0.137,0.2989690721649485,868374,Volgograd  Q914,1943.0,False,0.8123992718368517
4356,Battle of Waterloo,military conflict,0.25039121661683733,0.1470329278068335,0.019,0.25360824742268046,41000,Waterloo  Q179034,1815.0,False,0.6700323918463513
4503,Battle of Poitiers,military conflict,0.041798448344465645,0.012376015307514369,0.028,0.13127147766323025,0,Nouaillé- Maupertuis  Q646530,1356.0,False,0.21344594131521027
4563,Battle of Jutland,military conflict,0.22816539459012294,0.05977745964785186,0.195,0.18213058419243988,113300,North  Sea  Q1693,1916.0,False,0.6650734384304147
4606,Battle of the Nile,military conflict,0.16724097528140075,0.012724638787092927,0.216,0.39381443298969077,895,Abu  Qir  Bay  Q1779743,1798.0,False,0.7897800470581844
4615,Battle of Agincourt,military conflict,0.1090106426647081,0.06457197823225257,0.026000000000000002,0.18350515463917527,712,Azincourt  Q238339,1415.0,False,0.38308777553613593
