,n_conflict,id,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
0,0,16760,Kosovo War,military conflict,197476,2368366,274,671,"[[File:UCK KLA.png|25px|alt=Logo of the Kosovo Liberation Army]] 1,500 insurgents killed (per the KLA) <br>[[File:UCK KLA.png|25px|alt=Logo of the Kosovo Liberation Army]] 2,057 insurgents killed (per the [[Humanitarian Law Center|HLC]]) ---- {{flagicon|US|1960}} 2 killed (non-combat) and 3 captured <br /> {{flagicon|US|1960}} 2 aircraft shot down and 3 damaged </small><br /> {{flagicon|US|1960}} Two [[AH-64 Apache]]s and an [[AV-8B Harrier]] crashed (non-combat) <br /> {{flagicon|NATO}} 47 UAVs shot down {{flagicon|FRA}} Possible unknown number of [[DGSE]] officers killed |caus2| '''Caused by [[Kosovo Liberation Army|KLA]]:'''<br /> {{flagicon|FR Yugoslavia|1992}} 300+ soldiers killed (per the Yugoslav Army) <br />
'''Caused by [[NATO]]:'''<br /> {{flagicon|Federal Republic of Yugoslavia|1992}} 1,008–1,200 killed {{efn|Serbia claims that 1,008 Yugoslav soldiers and policemen were killed by NATO bombing.|ref| name=""mondo""|{{cite web|url=http://mondo.rs/a278816/Info/Srbija/NATO-nam-ubio-1.008-vojnika-i-policajaca.html|title=NATO nam ubio 1.008 vojnika i policajaca|publisher=Mondo|accessdate=2013-02-11}}|</ref>| NATO initially claimed that 5,000 Yugoslav servicemen had been killed and 10,000 had been wounded during the NATO air campaign.|ref| name=""Bideleux & Jeffries""|{{cite book|last1=Bideleux|first1=Robert|last2=Jeffries|first2=Ian|title=The Balkans: A Post-Communist History|publisher=Routledge|year=2006|isbn=978-0-203-96911-3|page=558}}|</ref>|ref| name=""Chambers""|{{cite book|last=Chambers II|first=John Whiteclay|title=The Oxford Companion to American Military History|publisher=Oxford University Press|year=1999|isbn=978-0-19-507198-6|page=375}}|</ref>| NATO has since revised this estimation to 1,200 Yugoslav soldiers and policemen killed.|ref| name=""Coopersmith & Launius""|{{cite book|last1=Coopersmith|first1=Jonathan|last2=Launius|first2=Roger D.|title=Taking Off: A Century of Manned Flight|publisher=American Institute of Aeronautics and Astronautics|year=2003|isbn=978-1-56347-610-5|page=54}}|</ref>}} <br /> NATO initially claimed that 5,000 Yugoslav servicemen had been killed and 10,000 had been wounded during the NATO air campaign. NATO has since revised this estimation to 1,200 Yugoslav soldiers and policemen killed. {{flagicon|FR Yugoslavia|1992}} 14 tanks, 18 [[Armoured personnel carrier|APCs]], 20 artillery pieces {{sfn|Macdonald|2007|pp|=|99}} and 121 aircraft and helicopters destroyed <br />
 '''Caused by KLA and NATO:'''<br /> {{flagicon|FR Yugoslavia|1992}} 1,035 killed (per the HLC)",Kosovo  Q1231,1999.0,False
1,1,22738,Operation Enduring Freedom,military conflict,52281,1248100,60,228,"{{flagicon|Afghanistan}} '''45,000+''' killed<br /> {{flagicon|United States}} '''2,437''' killed <br />(2,414 in Afghanistan, 17 in the Philippines, 4 in Nigeria, 2 in Somalia)<br> {{flagicon|United Kingdom}} '''456''' killed <br /> {{flagicon|Canada}} '''158''' killed <br /> {{flagicon|France}} '''89''' killed <br /> {{flagicon|Germany}} '''57''' killed <br /> {{flagicon|Italy}} '''53''' killed <br /> {{flagicon|Denmark}} '''43''' killed <br /> {{flagicon|Australia}} '''41''' killed <br /> {{flagicon|Poland}} '''40''' killed <br /> {{flagicon|Spain}} '''34''' killed <br /> {{flagicon|Georgia}} '''32''' killed <br>Others '''200+''' killed |caus2| {{flagicon|Afghanistan}} '''In Afghanistan:'''
* '''72,000+ killed''' {{flagicon|Philippines}} '''In the Philippines:'''
* '''328'''+ {{flagicon|Somalia}} '''In Somalia:'''
* '''260 to 365'''",Afghanistan  Q889,2014.0,False
2,2,30770,The Troubles,military conflict,143560,4660829,214,578,UDA: 91<br />UVF: 62<br />RHC: 4<br />LVF: 3<br />UR: 2 <br />'''Total''': 162,Northern  Ireland  Q26,1998.0,False
3,3,43063,Operation Anaconda,military conflict,53930,428455,34,205,"Unknown number of Afghan fighters killed {{Flagdeco|United States}} 8 (7 in the Battle of Takur Ghar) <br>82 wounded |caus2| 23 bodies found
''United States claimed'': 200–800 killed",Shah- i- Kot  Valley  Q16205112,2002.0,False
4,4,71717,Second Intifada,military conflict,193420,680777,261,784,55 foreign citizens total:<br />- 45 foreign citizens killed by Palestinians;<br />- 10 foreign citizens killed by Israeli security forces,Palestinian  Authority|Israel,2005.0,False
5,5,140792,First Chechen War,military conflict,63641,985456,66,308,"30,000–40,000 civilians killed ([[Russian Federal State Statistics Service|RFSSS]] data) <br> 80,000 civilians killed (Human rights groups estimate) <br> At least 161 civilians killed outside Chechnya <br>500,000+ civilians displaced",Chechen  Republic  Q5187|Republic  of  Ingushetia  Q5219|Stavropol  Krai  Q5207|Republic  of  Dagestan  Q5118,1996.0,False
6,6,171392,Second Chechen War,military conflict,134225,1385837,167,634,"'''[[Casualties of the Second Chechen War|Civilian casualties]]''':<br>Estimate up to '''25,000''' killed and up to '''5,000''' disappeared in Chechnya ([[Amnesty International|AI]] estimate) <br>Estimate total number of casualties:<br>'''~80,000''' killed in Chechnya ([[Society for Threatened Peoples|GfbV]] estimate), <br>More in neighbouring regions,<br>'''40-45,000''' civilians killed (Kramer), <br>More than '''600''' killed during attacks in Russia proper.<br> 
Other estimates for civilian dead '''150,000 to 250,000''' <br><br>'''Total killed military/civilian: ~50,000–80,000'''<br><br> '''Others estimate~150,000–250,000'''",Chechen  Republic  Q5187,2009.0,False
7,7,182821,Siege of Sarajevo,military conflict,78135,1060559,85,365,"5,434 civilians killed",Sarajevo  Q11194,1996.0,False
8,8,201936,2003 invasion of Iraq,military conflict,250155,2953828,290,886,"Estimated [[Casualties of the Iraq War#Iraqi invasion casualties|Iraqi civilian fatalities]]:<br />
7,269 (Iraq Body Count) <br />
3,200–4,300 (Project on Defense Alternatives study)",Iraq  Q796,2003.0,False
9,9,202304,Protests against the Iraq War,civil conflict,85504,134088,111,317,,Global,2002.0,False
