id,title,categories,scaled_length,scaled_views,scaled_refs,scaled_links,death,locations,end_date_clean,ongoing,popularity_score,article_lenght,views,refs_count,link_count
771,American Revolutionary War,military conflict,0.3750112057020904,0.2599290677120721,0.598,0.634364261168385,70000,Eastern  North  America|Caribbean  Sea|Indian  subcontinent|Africa|the  Atlantic  Ocean|and  the  Indian  Ocean,1783.0,False,1.8673045345825476,238972,8794983,598,924
863,American Civil War,military conflict,0.3194104778425917,0.5229986430697001,0.212,0.5326460481099656,828000,Southern  United  States  Q49042|Northern  United  States  Q1357541,1865.0,False,1.5870551690222574,203619,17696187,212,776
3793,Battle of Bosworth Field,military conflict,0.15232520284286696,0.032732866135706445,0.034,0.20893470790378008,0,Ambion  Hill  Q4741491|Battle  of  Bosworth  Field 1485  Q55876564,1485.0,False,0.4279927768823535,97380,1107588,34,305
4005,Battle of Pharsalus,military conflict,0.03451041697793617,0.01778526501901189,0.02,0.06735395189003437,230,Farsala  Q985596,0.0,False,0.13964963388698245,22469,601822,20,99
4049,Battle of Blenheim,military conflict,0.10437108881678796,0.013543088263183891,0.095,0.13745704467353953,24968,Blindheim  Q514914,1704.0,False,0.3503712217535114,66889,458284,95,201
4050,Battle of Ramillies,military conflict,0.08673921146457347,0.003597684366952989,0.08700000000000001,0.13058419243986255,3663,Ramillies  Q531456,1706.0,False,0.307921088271389,55678,121772,87,191
4160,Battle of Lostwithiel,military conflict,0.008090123726678378,0.0006260800094432157,0.0,0.029553264604811003,0,Lostwithiel  Q723517,1644.0,False,0.0382694683409326,5670,21225,0,44
4283,Battle of Peleliu,military conflict,0.07018622697326518,0.030045220271905624,0.027999999999999997,0.15601374570446735,10786,Peleliu  Q497981,1944.0,False,0.2842451929496381,45153,1016649,28,228
4284,Battle of Stalingrad,military conflict,0.20041928984944252,0.17601090982246062,0.13699999999999998,0.2989690721649485,868374,Volgograd  Q914,1943.0,False,0.8123992718368517,127960,5955534,137,436
4356,Battle of Waterloo,military conflict,0.2503912166168373,0.1470329278068335,0.019,0.2536082474226805,41000,Waterloo  Q179034,1815.0,False,0.6700323918463513,159734,4975037,19,370
